"FEEDER ID","FEEDER NAME","DATE-TIME"
"17","PV-80","2026-01-22 18:15:00.000"
"21","IFPC_ID-21","2025-12-22 06:45:00.000"
"33","V-NHW-11","2026-02-06 09:02:32.000"
"74","FORT KOCHI T-PK-49","2026-02-03 11:12:00.000"
"95","IFPC_ID-95","2025-12-30 16:24:33.000"
"167","IFPC_ID-167","2026-01-22 18:15:00.000"
"169","IFPC_ID-169","2026-01-10 12:18:35.000"
"192","P-PJ-15","2026-01-05 15:45:00.000"
"217","IFPC_ID-217","2026-01-22 11:00:01.000"
"256","P-PE-18-3","2025-12-18 00:00:00.000"
"258","V-VP-81-1","2026-01-05 13:45:00.000"
"272","V-VPW-83","2025-12-24 22:45:00.000"
"296","TOPPUMPADY T-MR-28","2026-02-03 16:30:00.000"
"314","F-AI-67-4-B","2026-01-05 04:15:00.000"
"366","TOPPUMPADY T-RC-11 NEW","2026-02-03 16:30:00.000"
"374","IFPC_ID-374","2026-01-21 11:15:28.000"
"437","KALOOR K-ST-6-5","2026-02-03 09:45:00.000"
"507","THOPUMPADY T-CK-48","2025-12-24 14:45:00.000"
"512","KALOOR K-LF-40-C","2026-02-03 16:30:00.000"
"524","VYTILA V-VTR-26-8","2025-12-29 13:45:00.000"
"538","PALARIVATTOM P-JBR-2","2025-12-28 15:45:00.000"
"550","T-MU-62-8","2026-01-22 10:15:00.000"
"592","KALOOR K-IR-30","2026-02-01 04:15:00.000"
"679","IFPC_ID-679","2026-02-03 16:30:00.000"
"683","KALOOR_SL-7","2025-12-30 02:52:28.000"
"689","E-EC-101","2026-02-01 04:15:00.000"
"695","KALOOR K-AZ-51-20","2025-12-16 15:27:58.000"
"771","TOPPUMPADY T-NH-63","2026-01-22 18:15:00.000"
"793","F-AI-30","2026-01-22 10:15:00.000"
"839","T-CN-2","2026-02-03 16:30:00.000"
"874","IFPC_ID-874","2026-01-13 14:56:07.000"
"1011","IFPC_ID-1011","2025-12-29 11:40:53.000"
"1152","IFPC_ID-1152","2026-01-22 10:15:00.000"
"1154","V-PT-27-34-4","2026-01-22 10:15:00.000"
"1166","IFPC_ID-1166","2026-01-22 18:15:00.000"
"1210","IFPC_ID-1210","2026-02-03 16:30:00.000"
"1249","IFPC_ID-1249","2026-02-03 16:30:00.000"
"1263","IFPC_ID-1263","2026-01-23 15:21:32.000"
"1270","IFPC_ID-1270","2025-12-16 05:45:00.000"
"1283","IFPC_ID-1283","2026-01-22 10:15:00.000"
"1285","V-VP-3-4","2026-01-22 10:15:00.000"
"1346","IFPC_ID-1346","2026-02-06 06:45:42.000"
"1372","IFPC_ID-1372","2026-02-04 16:15:19.000"
"1374","IFPC_ID-1374","2026-01-15 09:00:00.000"
"1391","IFPC_ID-1391","2026-01-12 13:00:00.000"
"1403","IFPC_ID-1403","2026-01-25 05:00:00.000"
"1404","IFPC_ID-1404","2026-01-27 10:00:00.000"
"1407","IFPC_ID-1407","2026-01-22 10:15:00.000"
"1431","V-CB-7-1","2026-01-06 11:45:00.000"
"1455","IFPC_ID-1455","2025-12-21 23:00:00.000"
"1463","IFPC_ID-1463","2026-01-22 18:15:00.000"
"1490","V-HP-1-3","2026-01-22 18:07:03.000"
"1508","V-VP-108","2026-01-22 18:15:00.000"
"1510","IFPC_ID-1510","2026-02-01 04:15:00.000"
"1511","IFPC_ID-1511","2026-01-22 18:15:00.000"
"1607","V-TA-104","2026-01-17 00:00:00.000"
"1647","IFPC_ID-1647","2026-01-22 10:15:00.000"
"1684","IFPC_ID-1684","2026-01-22 18:15:00.000"
"1694","IFPC_ID-1694","2026-01-22 18:15:00.000"
"2033","IFPC_ID-2033","2026-01-22 06:00:00.000"
"2056","F-CR-34","2026-02-05 11:31:27.000"
"2059","METRO PILLAR_483-486","2026-01-08 09:00:00.000"
"2062","IFPC_ID-2062","2026-02-05 11:54:48.000"
"2083","METRO PILLAR_576-577","2026-02-02 22:51:00.000"
"2090","METRO PILLAR_687-688","2026-02-01 00:34:57.000"
"2097","IFPC_ID-2097","2026-02-03 11:16:54.000"
"2102","IFPC_ID-2102","2026-02-05 11:45:40.000"